trip_id,route_id,service_id,trip_headsign
13997545,6612,1,2 Macdonald/To Burrard Station
13997546,6612,1,2 Macdonald/To Burrard Station
13997547,6612,1,2 Macdonald/To Burrard Station
13997548,6612,1,2 Macdonald/To Burrard Station
13997549,6612,1,2 Macdonald/To Burrard Station
13997550,6612,1,2 Macdonald/To Burrard Station
13997551,6612,1,2 Macdonald/To Burrard Station
13997552,6612,1,2 Macdonald/To Burrard Station
13997553,6612,1,2 Macdonald/To Burrard Station
13997554,6612,1,2 Macdonald/To Burrard Station
13997555,6612,1,2 Macdonald/To Burrard Station
13997556,6612,1,2 Macdonald/To Burrard Station
13997557,6612,1,2 Macdonald/To Burrard Station
13997558,6612,1,2 Macdonald/To Burrard Station
13997559,6612,1,2 Macdonald/To Burrard Station
13997560,6612,1,2 Macdonald/To Burrard Station
13997561,6612,1,2 Macdonald/To Burrard Station
13997562,6612,1,2 Macdonald/To Burrard Station
13997563,6612,1,2 Macdonald/To Burrard Station
13997564,6612,1,2 Macdonald/To Burrard Station
13997565,6612,1,2 Macdonald/To Burrard Station
13997566,6612,1,2 Macdonald/To Burrard Station
13997567,6612,1,2 Macdonald/To Burrard Station
13997568,6612,1,2 Macdonald/To Burrard Station
13997569,6612,1,2 Macdonald/To Burrard Station
13997570,6612,1,2 Macdonald/To Burrard Station
13997571,6612,1,2 Macdonald/To Burrard Station
13997572,6612,1,2 Macdonald/To Burrard Station
13997573,6612,1,2 Macdonald/To Burrard Station
13997574,6612,1,2 Macdonald/To Burrard Station
13997575,6612,1,2 Macdonald/To Burrard Station
13997576,6612,1,2 Macdonald/To Burrard Station
13997577,6612,1,2 Macdonald/To Burrard Station
13997578,6612,1,2 Macdonald/To Burrard Station
13997579,6612,1,2 Macdonald/To Burrard Station
13997580,6612,1,2 Macdonald/To Burrard Station
13997581,6612,1,2 Macdonald/To Burrard Station
13997582,6612,1,2 Macdonald/To Burrard Station
13997583,6612,1,2 Macdonald/To Burrard Station
13997584,6612,1,2 Macdonald/To Burrard Station
13997585,6612,1,2 Macdonald/To Burrard Station
13997586,6612,1,2 Macdonald/To Burrard Station
13997587,6612,1,2 Macdonald/To Burrard Station
13997588,6612,1,2 Macdonald/To Burrard Station
13997589,6612,1,2 Macdonald/To Burrard Station
13997590,6612,1,2 Macdonald/To Burrard Station
13997591,6612,1,2 Macdonald/To Burrard Station
13997592,6612,1,2 Macdonald/To Burrard Station
13997593,6612,1,2 Macdonald/To Burrard Station
13997594,6612,1,2 Macdonald/To Burrard Station
13997595,6612,1,2 Macdonald/To Burrard Station
13997596,6612,1,2 Macdonald/To Burrard Station
13997597,6612,1,2 Macdonald/To Burrard Station
13997598,6612,1,2 Macdonald/To Burrard Station
13997599,6612,1,2 Macdonald/To Burrard Station
13997600,6612,1,2 Macdonald/To Burrard Station
13997601,6612,1,2 Macdonald/To Burrard Station
13997602,6612,1,2 Macdonald/To Burrard Station
13997603,6612,1,2 Macdonald/To Burrard Station
13997604,6612,1,2 Macdonald/To Burrard Station
13997605,6612,1,2 Macdonald/To Burrard Station
13997606,6612,1,2 Macdonald/To Burrard Station
13997607,6612,1,2 Macdonald/To Burrard Station
13997608,6612,1,2 Macdonald/To Burrard Station
13997609,6612,1,2 Macdonald/To Burrard Station
13997610,6612,1,2 Macdonald/To Burrard Station
13997611,6612,1,2 Macdonald/To Burrard Station
13997612,6612,1,2 Macdonald/To Burrard Station
