route_id,route_short_name,route_long_name,trip_headsign
6612,002,Macdonald/Burrard Station,"['2 Macdonald/To 16th Avenue', '2 Macdonald/To Burrard Station', '2 Macdonald/To Dunbar Loop']"
6613,003,Main/Waterfront Station,"['3 Main/To Marine Dr Station', '3 Main/To Waterfront Station']"
6614,004,Powell/Downtown/UBC,"['4 Powell', '4 Downtown', '4 UBC', '4 To Blanca']"
6615,005,Robson/Downtown,"['5 Downtown', '5 Robson']"
6616,006,Davie/Downtown,"['6 Davie', '6 Downtown']"
6617,007,Nanaimo Station/Dunbar,"['7 Nanaimo Station', '7 Dunbar', '7 Downtown', '7 to Hastings']"
6618,008,Fraser/Waterfront Station,"['8 Fraser/To SE Marine Dr', '8 Fraser/To Waterfront Station', '8 Fraser/to 41st Ave']"
6619,009,Boundary/Commercial-Broadway/Granville/Alma/UBC,"['9 Boundary', '9 Commercial-Broadway Station', '9 UBC', '9 Alma', '9 To Granville', '9 To Main']"
6620,010,Granville/Waterfront Station,"['10 Granville/To Marine Dr Station', '10 Granville/To Marpole', '10 Granville/To Waterfront Station', '10 Granville/To Davie']"
6621,015,Cambie/Olympic Village Station,"['15 Cambie', '15 Olympic Village Station']"
6622,016,29th Avenue Station/Arbutus,"['16 Downtown', '16 29th Ave Station', '16 To Kingsway', '16 Arbutus', '16 Hastings']"
6623,017,Downtown/Oak,"['17 Oak', '17 Downtown']"
6624,019,Metrotown Station/Stanley Park,"['19 Kingsway/To Metrotown Station', '19 Pender/To Granville', '19 Kingsway/To Downtown', '19 Kingsway/To Stanley Park', '19 Stanley Park', '19 Kingsway/To Joyce']"
6625,020,Victoria/Downtown,"['20 Victoria to 41st Ave', '20 Victoria', '20 Victoria to 54th Ave', '20 Downtown']"
6626,022,Knight/Downtown,"['22 Knight to 63rd', '22 Knight', '22 Knight via Terminal', '22 Downtown', '22 Downtown via Terminal', '22 Knight via Industrial']"
6627,025,Brentwood Station/UBC,"['25 King Edward/To Brentwood Station', '25 King Edward/To Nanaimo Station', '25 King Edward/To UBC Exchange', '25 King Edward/To Granville']"
6628,026,Joyce Station/29th Avenue Station,"['26 29th Ave Station', '26 Joyce Station']"
6629,027,Kootenay Loop/Joyce Station,"['27 Joyce Station', '27 Kootenay Loop']"
6630,028,Phibbs Exchange/Joyce Station,"['28 Joyce Station', '28 Gilmore Station', '28 Kootenay Loop', '28 Phibbs Exchange']"
