stop_id,stop_code,stop_name,stop_lat,stop_lon,route_id
1,50001,Westbound Davie St @ Bidwell St,49.286458,-123.140424,[30055]
11,50011,Eastbound Davie St @ Howe St,49.27755,-123.126971,[6616]
14,50014,Eastbound Pacific Blvd @ Homer St,49.272929,-123.125546,[30055]
21,50021,Eastbound E Pender St @ Carrall St,49.280394,-123.103799,"[6624, 6626, 6834]"
22,50022,Northbound Columbia St @ E Pender St,49.280772,-123.102196,[6637]
25,50025,Westbound Davie St @ Granville St,49.277437,-123.126514,[6616]
26,50026,Westbound Davie St @ Howe St,49.278073,-123.127493,"[6616, 6620]"
29,50029,Northbound Burrard St @ Nelson St,49.281364,-123.125521,"[6612, 6635, 6836]"
30,50030,Northbound Burrard St @ Robson St,49.283593,-123.12214,"[6612, 6615, 6635, 6836]"
31,50031,Burrard Station @ Bay 7,49.284688,-123.120503,"[6612, 6615, 6635]"
35,50035,Waterfront Station @ Bay 3,49.284786,-123.111191,"[6613, 6614, 6617, 6618, 6620, 6637, 6840]"
36,50036,Eastbound W Cordova St @ Homer St,49.283719,-123.10959,"[16717, 6613, 6614, 6617, 6618, 6637, 6672, 6673, 6675, 6840]"
38,50038,Westbound Powell St @ Columbia St,49.283285,-123.102896,[6637]
39,59525,Westbound Water St @ Abbott St,49.28411,-123.107364,[6637]
40,50040,Waterfront Station @ Bay 2,49.285599,-123.112074,[6637]
44,50044,Southbound Burrard St @ W Georgia St,49.284178,-123.121677,[6635]
45,50045,Southbound Burrard St @ Robson St,49.283087,-123.123336,"[6612, 6836]"
46,50046,Southbound Burrard St @ Barclay St,49.282068,-123.12488,"[6612, 6836]"
47,50047,Southbound Burrard St @ Nelson St,49.280981,-123.126516,"[6612, 6635, 6836]"
48,50048,Westbound Davie St @ Burrard St,49.279449,-123.129617,[6616]
49,50049,Westbound Davie St @ Thurlow St,49.280756,-123.131638,[6616]
50,50050,Westbound Davie St @ Bute St,49.282009,-123.133574,[6616]
51,50051,Westbound Davie St @ Jervis St,49.283006,-123.135121,[6616]
52,50052,Westbound Davie St @ Broughton St,49.283898,-123.136507,[6616]
53,50053,Westbound Davie St @ Cardero St,49.28546,-123.138909,[6616]
54,50054,Eastbound W 16 Ave @ Trutch St,49.257636,-123.175459,"[11201, 6612]"
55,50055,Eastbound W 16 Ave @ Carnarvon St,49.257586,-123.171363,"[11201, 6612]"
56,50056,Northbound Macdonald St @ W 16 Ave,49.258079,-123.168299,"[6612, 6836]"
58,50058,Northbound Macdonald St @ W 12 Ave,49.261778,-123.168164,"[6612, 6836]"
59,50059,Northbound Macdonald St @ W 10 Ave,49.263469,-123.168097,"[6612, 6836]"
60,50060,Northbound Macdonald St @ W Broadway,49.264484,-123.168205,[16718]
61,50061,Northbound Macdonald St @ W 7th Ave,49.266101,-123.168316,"[16718, 6612, 6836]"
63,50063,Northbound Macdonald St @ W 3rd Ave,49.269101,-123.168208,"[6612, 6836]"
64,50064,Northbound Macdonald St @ W 2nd Ave,49.270491,-123.168159,"[6612, 6836]"
69,50069,Eastbound Cornwall Ave @ Yew St,49.272516,-123.154543,"[6612, 6836]"
