route_id,trip_id,trip_headsign,service_id
6612,13997545,2 Macdonald/To Burrard Station,1
6612,13997546,2 Macdonald/To Burrard Station,1
6612,13997547,2 Macdonald/To Burrard Station,1
6612,13997548,2 Macdonald/To Burrard Station,1
6612,13997549,2 Macdonald/To Burrard Station,1
6612,13997550,2 Macdonald/To Burrard Station,1
6612,13997551,2 Macdonald/To Burrard Station,1
6612,13997552,2 Macdonald/To Burrard Station,1
6612,13997553,2 Macdonald/To Burrard Station,1
6612,13997554,2 Macdonald/To Burrard Station,1
6612,13997555,2 Macdonald/To Burrard Station,1
6612,13997556,2 Macdonald/To Burrard Station,1
6612,13997557,2 Macdonald/To Burrard Station,1
6612,13997558,2 Macdonald/To Burrard Station,1
6612,13997559,2 Macdonald/To Burrard Station,1
6612,13997560,2 Macdonald/To Burrard Station,1
6612,13997561,2 Macdonald/To Burrard Station,1
6612,13997562,2 Macdonald/To Burrard Station,1
6612,13997563,2 Macdonald/To Burrard Station,1
6612,13997564,2 Macdonald/To Burrard Station,1
6612,13997565,2 Macdonald/To Burrard Station,1
6612,13997566,2 Macdonald/To Burrard Station,1
6612,13997567,2 Macdonald/To Burrard Station,1
6612,13997568,2 Macdonald/To Burrard Station,1
6612,13997569,2 Macdonald/To Burrard Station,1
6612,13997570,2 Macdonald/To Burrard Station,1
6612,13997571,2 Macdonald/To Burrard Station,1
6612,13997572,2 Macdonald/To Burrard Station,1
6612,13997573,2 Macdonald/To Burrard Station,1
6612,13997574,2 Macdonald/To Burrard Station,1
6612,13997575,2 Macdonald/To Burrard Station,1
6612,13997576,2 Macdonald/To Burrard Station,1
6612,13997577,2 Macdonald/To Burrard Station,1
6612,13997578,2 Macdonald/To Burrard Station,1
6612,13997579,2 Macdonald/To Burrard Station,1
6612,13997580,2 Macdonald/To Burrard Station,1
6612,13997581,2 Macdonald/To Burrard Station,1
6612,13997582,2 Macdonald/To Burrard Station,1
6612,13997583,2 Macdonald/To Burrard Station,1
6612,13997584,2 Macdonald/To Burrard Station,1
6612,13997585,2 Macdonald/To Burrard Station,1
6612,13997586,2 Macdonald/To Burrard Station,1
6612,13997587,2 Macdonald/To Burrard Station,1
6612,13997588,2 Macdonald/To Burrard Station,1
6612,13997589,2 Macdonald/To Burrard Station,1
6612,13997590,2 Macdonald/To Burrard Station,1
6612,13997591,2 Macdonald/To Burrard Station,1
6612,13997592,2 Macdonald/To Burrard Station,1
6612,13997593,2 Macdonald/To Burrard Station,1
6612,13997594,2 Macdonald/To Burrard Station,1
6612,13997595,2 Macdonald/To Burrard Station,1
6612,13997596,2 Macdonald/To Burrard Station,1
6612,13997597,2 Macdonald/To Burrard Station,1
6612,13997598,2 Macdonald/To Burrard Station,1
6612,13997599,2 Macdonald/To Burrard Station,1
6612,13997600,2 Macdonald/To Burrard Station,1
6612,13997601,2 Macdonald/To Burrard Station,1
6612,13997602,2 Macdonald/To Burrard Station,1
6612,13997603,2 Macdonald/To Burrard Station,1
6612,13997604,2 Macdonald/To Burrard Station,1
6612,13997605,2 Macdonald/To Burrard Station,1
6612,13997606,2 Macdonald/To Burrard Station,1
6612,13997607,2 Macdonald/To Burrard Station,1
6612,13997608,2 Macdonald/To Burrard Station,1
6612,13997609,2 Macdonald/To Burrard Station,1
6612,13997610,2 Macdonald/To Burrard Station,1
6612,13997611,2 Macdonald/To Burrard Station,1
6612,13997612,2 Macdonald/To Burrard Station,1
6612,13997613,2 Macdonald/To Burrard Station,1
6612,13997614,2 Macdonald/To Burrard Station,1
6612,13997615,2 Macdonald/To Burrard Station,1
6612,13997616,2 Macdonald/To Burrard Station,1
6612,13997617,2 Macdonald/To Burrard Station,1
6612,13997618,2 Macdonald/To Burrard Station,1
6612,13997619,2 Macdonald/To Burrard Station,1
6612,13997620,2 Macdonald/To Burrard Station,1
6612,13997621,2 Macdonald/To Burrard Station,1
6612,13997622,2 Macdonald/To Burrard Station,1
6612,13997623,2 Macdonald/To Burrard Station,1
6612,13997624,2 Macdonald/To Burrard Station,1
6612,13997625,2 Macdonald/To Burrard Station,1
6612,13997626,2 Macdonald/To Burrard Station,1
6612,13997627,2 Macdonald/To Burrard Station,1
6612,13997628,2 Macdonald/To Burrard Station,1
6612,13997629,2 Macdonald/To Burrard Station,1
6612,13997630,2 Macdonald/To Burrard Station,1
6612,13997631,2 Macdonald/To Burrard Station,1
6612,13997632,2 Macdonald/To Burrard Station,1
6612,13997633,2 Macdonald/To Burrard Station,1
6612,13997634,2 Macdonald/To Burrard Station,1
6612,13997635,2 Macdonald/To Burrard Station,1
6612,13997636,2 Macdonald/To Burrard Station,1
6612,13997637,2 Macdonald/To Burrard Station,1
6612,13997638,2 Macdonald/To Burrard Station,1
6612,13997639,2 Macdonald/To Burrard Station,1
6612,13997640,2 Macdonald/To Burrard Station,1
6612,13997641,2 Macdonald/To Burrard Station,1
6612,13997642,2 Macdonald/To Burrard Station,1
6612,13997643,2 Macdonald/To Burrard Station,1
6612,13997644,2 Macdonald/To Burrard Station,1
6612,13997645,2 Macdonald/To Burrard Station,1
6612,13997646,2 Macdonald/To Burrard Station,1
6612,13997647,2 Macdonald/To Burrard Station,1
6612,13997653,2 Macdonald/To Dunbar Loop,1
6612,13997654,2 Macdonald/To Dunbar Loop,1
6612,13997655,2 Macdonald/To Dunbar Loop,1
6612,13997656,2 Macdonald/To Dunbar Loop,1
6612,13997657,2 Macdonald/To 16th Avenue,1
6612,13997658,2 Macdonald/To Dunbar Loop,1
6612,13997659,2 Macdonald/To 16th Avenue,1
6612,13997660,2 Macdonald/To 16th Avenue,1
6612,13997661,2 Macdonald/To Dunbar Loop,1
6612,13997662,2 Macdonald/To 16th Avenue,1
6612,13997663,2 Macdonald/To Dunbar Loop,1
6612,13997664,2 Macdonald/To 16th Avenue,1
6612,13997665,2 Macdonald/To Dunbar Loop,1
6612,13997666,2 Macdonald/To 16th Avenue,1
6612,13997667,2 Macdonald/To Dunbar Loop,1
6612,13997668,2 Macdonald/To Dunbar Loop,1
6612,13997669,2 Macdonald/To 16th Avenue,1
6612,13997670,2 Macdonald/To Dunbar Loop,1
6612,13997671,2 Macdonald/To 16th Avenue,1
6612,13997672,2 Macdonald/To Dunbar Loop,1
6612,13997673,2 Macdonald/To Dunbar Loop,1
6612,13997674,2 Macdonald/To 16th Avenue,1
6612,13997675,2 Macdonald/To Dunbar Loop,1
6612,13997676,2 Macdonald/To 16th Avenue,1
6612,13997677,2 Macdonald/To Dunbar Loop,1
6612,13997678,2 Macdonald/To 16th Avenue,1
6612,13997679,2 Macdonald/To Dunbar Loop,1
6612,13997680,2 Macdonald/To 16th Avenue,1
6612,13997681,2 Macdonald/To Dunbar Loop,1
6612,13997682,2 Macdonald/To 16th Avenue,1
6612,13997683,2 Macdonald/To Dunbar Loop,1
6612,13997684,2 Macdonald/To 16th Avenue,1
6612,13997685,2 Macdonald/To Dunbar Loop,1
6612,13997686,2 Macdonald/To 16th Avenue,1
6612,13997687,2 Macdonald/To Dunbar Loop,1
6612,13997688,2 Macdonald/To 16th Avenue,1
6612,13997689,2 Macdonald/To Dunbar Loop,1
6612,13997690,2 Macdonald/To 16th Avenue,1
6612,13997691,2 Macdonald/To Dunbar Loop,1
6612,13997692,2 Macdonald/To 16th Avenue,1
6612,13997693,2 Macdonald/To Dunbar Loop,1
6612,13997694,2 Macdonald/To 16th Avenue,1
6612,13997695,2 Macdonald/To Dunbar Loop,1
6612,13997696,2 Macdonald/To 16th Avenue,1
6612,13997697,2 Macdonald/To Dunbar Loop,1
6612,13997698,2 Macdonald/To 16th Avenue,1
6612,13997699,2 Macdonald/To Dunbar Loop,1
6612,13997700,2 Macdonald/To 16th Avenue,1
6612,13997701,2 Macdonald/To Dunbar Loop,1
6612,13997702,2 Macdonald/To 16th Avenue,1
6612,13997703,2 Macdonald/To Dunbar Loop,1
6612,13997704,2 Macdonald/To 16th Avenue,1
6612,13997705,2 Macdonald/To Dunbar Loop,1
6612,13997706,2 Macdonald/To 16th Avenue,1
6612,13997707,2 Macdonald/To Dunbar Loop,1
6612,13997708,2 Macdonald/To 16th Avenue,1
